path,Title,Artist,Album,Year,Duration,Genre,Format,Bitrate
"ABBA/Greatest Songs/Abba - Greatest Songs (2018)/01 - Money, Money, Money.mp3","Money, Money, Money",ABBA,Greatest Songs,2018,03:06,Pop,mp3,320.0
"ABBA/Greatest Songs/Abba - Greatest Songs (2018)/02 - I Do, I Do, I Do, I Do, I Do.mp3","I Do, I Do, I Do, I Do, I Do",ABBA,Greatest Songs,2018,03:15,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/03 - The Day before You Came.mp3,The Day before You Came,ABBA,Greatest Songs,2018,05:51,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/04 - Lay all Your Love on Me.mp3,Lay all Your Love on Me,ABBA,Greatest Songs,2018,04:34,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/05 - Chiquitita (English).mp3,Chiquitita (English),ABBA,Greatest Songs,2018,05:26,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/06 - Super Trouper.mp3,Super Trouper,ABBA,Greatest Songs,2018,04:14,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/07 - Waterloo.mp3,Waterloo,ABBA,Greatest Songs,2018,02:45,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/08 - The Winner Takes It All.mp3,The Winner Takes It All,ABBA,Greatest Songs,2018,04:54,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/09 - Take a Chance on Me.mp3,Take a Chance on Me,ABBA,Greatest Songs,2018,03:59,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/10 - Mamma Mia.mp3,Mamma Mia,ABBA,Greatest Songs,2018,03:31,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/11 - One of Us.mp3,One of Us,ABBA,Greatest Songs,2018,03:55,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/12 - Does Your Mother Know.mp3,Does Your Mother Know,ABBA,Greatest Songs,2018,03:14,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/13 - SOS.mp3,SOS,ABBA,Greatest Songs,2018,03:21,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/14 - The Name of the Game.mp3,The Name of the Game,ABBA,Greatest Songs,2018,04:52,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/15 - I Have a Dream.mp3,I Have a Dream,ABBA,Greatest Songs,2018,04:44,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/16 - Thank You for the Music.mp3,Thank You for the Music,ABBA,Greatest Songs,2018,03:49,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/17 - Dancing Queen.mp3,Dancing Queen,ABBA,Greatest Songs,2018,03:51,Pop,mp3,320.0
"ABBA/Greatest Songs/Abba - Greatest Songs (2018)/18 - Knowing Me, Knowing You.mp3","Knowing Me, Knowing You",ABBA,Greatest Songs,2018,04:02,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/19 - Fernando.mp3,Fernando,ABBA,Greatest Songs,2018,04:12,Pop,mp3,320.0
ABBA/Greatest Songs/Abba - Greatest Songs (2018)/20 - Gimme! Gimme! Gimme! (A Man After Midnight).mp3,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Greatest Songs,2018,04:49,Pop,mp3,320.0
Angie McMahon/Piano Salt/01 Soon (piano).mp3,Soon (piano),Angie McMahon,Piano Salt,2020,03:52,Unavailable,mp3,320.0
Angie McMahon/Piano Salt/02 Slow Mover (piano).mp3,Slow Mover (piano),Angie McMahon,Piano Salt,2020,04:32,Unavailable,mp3,320.0
